Site,Region,RCA,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
RABBIT,E GULF,10,,,,,,,,,,,,,,,0,,21,,0,0,2,,0,,0,,0,,0,0,0,0,0,,,0,,0,
ROCK,W GULF,7,,,,,,,,21,,0,,0,104,0,11,,0,,0,0,0,,0,,0,,17,,0,0,0,,,,,,,,0
ROOTOK,E ALEU,6,,,,,,,,96,,,,28,85,54,70,,42,,68,146,210,,93,,84,,96,,96,141,60,,,,,,30,,45
ROUND (WALRUS IS),E ALEU,6,,,,,,,,670,,,218,,,63,,,,,,,,,,,,,,,,,98,139,79,195,132,97,100,73,285
RUGGED,E GULF,10,,,,,,,,,,,,190,25,128,153,,157,,30,,11,,3,,0,,0,,0,0,8,2,0,,,3,,48,
SAGIGIK,C ALEU,5,,262,,,,,,482,,,,116,66,102,58,,13,,10,,5,,22,,40,,30,,,10,14,,40,14,,,52,,26
SALT,C ALEU,4,,0,,,,,,0,,,,25,0,0,0,,0,,0,,0,,0,,0,,0,,,0,4,,7,1,,,14,,0
SAMALGA,E ALEU,6,,,,,,,,490,,,,3,2,0,0,,0,,0,,10,,,,0,,1,,0,0,0,,0,,,,0,,
SANAK,W GULF,7,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,0,,0,0,0,,,,,,0,,0
SEA LION ROCK (AMAK),E ALEU,6,1386,,,,,,1298,410,527,,,344,286,300,329,,480,,590,452,444,,258,,507,,456,524,447,385,360,314,436,552,,,504,,764
SEA LION ROCK (KISKA),C ALEU,2,,81,,,,,,15,,,,3,,12,5,,14,,1,,1,,0,,1,,0,,,,0,,,,,,,,0
SEA LION ROCKS (MARMOT),C GULF,9,,,,,,,,225,,,,46,93,88,57,,62,,4,37,48,,56,,0,,2,,,1,13,2,0,,,12,,12,
SEA LION ROCKS (SHUMAGINS),W GULF,7,,,,,,,,377,,,,96,84,138,149,,219,,192,174,152,,33,,26,,36,,142,44,54,,,168,,46,97,,110
SEA OTTER,C GULF,9,,,,,,,,335,,,,450,164,122,0,,206,,170,100,123,,118,,45,,137,,,100,48,27,6,,,84,,119,
SEAL CAPE,W GULF,8,,,,,,,,,,,,,,0,0,,0,,0,0,0,,0,,0,,0,,0,,0,,,,,,,0,
SEAL ROCKS,E GULF,10,2463,2961,,,,,,,,,,2093,1471,1220,784,,636,,544,,730,,749,,768,,841,1049,1119,803,1024,1006,1042,1310,,1445,,1058,
SEAL ROCKS (KENAI),E GULF,10,,,,,,,,,,,,65,52,25,5,,58,,31,,1,,34,,1,,3,,4,2,0,13,4,,,7,,51,
SEGUAM/SADDLERIDGE,C ALEU,5,,4018,,,,,,2942,,,,602,833,684,696,,658,,553,,586,,570,,666,,923,724,,668,835,856,756,944,,,694,,928
SEGUAM/TURF POINT,C ALEU,5,,856,,,,,,664,,,,107,181,160,124,,286,,227,,308,,174,,220,,195,,,160,90,,106,98,,,263,,55
SEGULA/CHUGUL POINT,C ALEU,2,,68,,,,,,0,,,,0,,,5,,1,,15,,4,,0,,0,,,,,,0,,,,,,,,0
SEGULA/GULA POINT,C ALEU,2,,31,,,,,,49,,,,0,,,0,,,,0,,0,,0,,0,,,,1,,0,,,,,0,,,0
SEMISOPOCHNOI/PETREL,C ALEU,2,,,,,,,,,,,,,,145,134,,176,,58,,2,,65,,18,,0,,43,,0,,,,22,,3,,17
SEMISOPOCHNOI/POCHNOI,C ALEU,2,,556,,,,,,,,,,,,298,238,,152,,108,,139,,65,,70,,55,79,41,,32,36,,,13,,49,,36
SEMISOPOCHNOI/SW KNOB,C ALEU,2,,,,,,,,,,,,,,,,,17,,,,,,14,,18,,17,,0,,,,,,,,0,,0
SHAKUN ROCKS,C GULF,9,,,,,,,,1055,,,,0,140,123,191,,126,,106,109,56,,225,,45,,104,,67,113,81,,117,125,,224,,98,
SHAW,C GULF,9,,,,,,,,,,,,,,,,,,,51,248,0,,119,,26,,81,,162,1,0,,0,,,0,,0,
SHEMYA,W ALEU,1,,1520,,,,,,,,,,,,453,248,,106,,326,,160,,54,,34,,17,,18,,4,,,3,18,18,,,0
SILAK,C ALEU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,32,88,32,,90,64,47,,44,,24
SIMEONOF,W GULF,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2
SITKINAK/CAPE SITKINAK,C GULF,9,,,,,,,,477,653,,,204,234,334,173,,86,,62,138,100,,160,,91,,80,,,104,115,62,76,,,156,,186,
SKAGUL/S. POINT,C ALEU,3,,0,,,,,,0,,,,0,0,0,,,,,0,,0,,0,,0,,1,,,,1,,,,,,9,,
SOUTH ROCKS,W GULF,7,1320,,,,,,,892,,,,,332,290,232,,342,,345,402,408,,161,,262,,528,270,320,457,451,434,,484,,551,,,394
SOZAVARIKA,W GULF,7,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,0,,0,,,,,,0,,0
SPITZ,W GULF,8,,,,,,,,645,,,,156,126,88,3,,20,,110,21,27,,6,,0,,1,,0,11,1,,,,,,90,,0
ST. GEORGE,E ALEU,6,,,,,,,,,,,,,,,,,,,,,,35,,51,,,,,,,,,,,,,,23,
ST. PAUL/NE POINT,E ALEU,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
ST. PAUL/SEA LION ROCK,E ALEU,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,12,
STEEP POINT,E GULF,10,,,,,,,,,,,,,,,29,,202,,67,110,59,,45,,8,,1,,63,90,92,88,107,,,72,,133,
SUD,C GULF,9,,,,,,,,8,,,,47.5,56,0,,,,,0,0,0,,0,,,,0,,0,0,0,,0,,,0,,0,
SUGARLOAF,C GULF,9,4810,4374,,,,,,2991,,,,2164,1416,1216,1186,,976,,741,624,748,,706,,736,,667,767,733,662,849,844,788,1018,,1170,,975,
SUSHILNOI ROCKS,W GULF,7,,,,,,,,,,,,,,,230,,,,102,154,108,,64,,110,,290,62,327,289,286,398,,444,,355,341,,456
SUTWIK,C GULF,8,,,,,,,,224,,,,210,153,138,115,,94,,132,142,178,,114,,114,,206,,114,127,93,106,148,286,,298,,262,
TAG,C ALEU,3,,1740,,,,,,944,,,,590,478,440,370,,309,,320,,370,,301,,279,,242,272,,,255,234,212,,,,174,,
TAGALAK,C ALEU,4,,,,,,,,,,,,,,,,,105,,103,,134,,72,,28,,91,,134,162,86,,53,44,,,183,,118
TAKLI,C GULF,8,,,,,,,,802,,,,66,0,38,0,,58,,30,34,34,,33,,79,,85,,157,92,67,,74,,,0,,24,
TANADAK (AMLIA),C ALEU,5,,264,,,,,,974,,,,84,60,9,10,,0,,13,,10,,74,,32,,1,,,0,30,,12,34,,,0,,31
TANADAK (KISKA),C ALEU,2,,187,,,,,,422,,,,136,,80,136,,99,,85,,96,,71,,54,,34,,,,1,,,,,,,,0
TANAGA/BUMPY POINT,C ALEU,3,,5,,,,,,281,,516,,,43,18,42,,11,,0,,17,,18,,26,,33,,,33,22,,46,22,,,0,,14
TANAGA/CAPE SASMIK,C ALEU,3,,51,,,,,,0,,,,,148,68,65,,97,,100,,182,,154,,148,,122,,,63,95,,96,19,,,6,,
TANGINAK,E ALEU,6,,,,,,,,61,,,,0,27,60,42,,66,,59,28,69,,8,,3,,4,,6,4,1,,,,,,2,,32
THE HAYSTACKS,W GULF,7,,,,,,,,,,,,0,0,0,0,,0,,15,30,60,,62,,50,,38,,1,41,3,,,,,72,136,,56
THE NEEDLE,E GULF,10,,,,,,,,,,,,668,926,430,242,,260,,126,,127,,126,,115,,123,,127,145,88,112,111,102,,84,,143,
THE PILLARS,E ALEU,6,,,,,,,,196,,,,0,1,2,0,,0,,0,0,33,,51,,14,,4,,0,0,0,,15,90,,25,26,,6
THE WHALEBACK,W GULF,7,,,,,,,,,,,,355,419,411,395,,324,,288,343,316,,162,,116,,102,88,99,83,102,103,,122,,186,190,,116
TIGALDA/ROCKS NE,E ALEU,6,,,,,,,225,82,,,,0,71,132,205,,137,,210,170,132,,123,,134,,141,,202,236,359,228,,135,,,114,,124
TIGALDA/SOUTH SIDE,E ALEU,6,,,,,,,,,,,,,,50,25,,126,,118,49,47,,42,,38,,46,,83,105,91,,,61,,,93,,50
TWIN ROCKS (KISKA),C ALEU,2,,,,,,,,,,,,,,,,,,,,,,,39,,23,,13,,,,1,,,,,0,,,2
TWINS,W GULF,7,,,,,,,,,,,,,,0,0,,0,,0,0,0,,0,,0,,0,,0,0,0,,,,,,0,,0
TWOHEADED,C GULF,9,,,,,,,,1240,1407.2,,,479,268,382,330,,364,,216,308,378,,254,,227,,266,367,,228,204,251,244,353,,421,,540,
UGAIUSHAK,C GULF,8,,,,,,,,166,,,,138,55,66,18,,22,,13,10,19,,2,,2,,0,,0,2,0,,,,,2,,5,
UGAK,C GULF,9,,,,,,,,17,269.75,,,0,0,0,15,,1,,0,0,0,,0,,0,,0,,,0,0,0,0,,,0,,0,
UGAMAK,E ALEU,6,,,,,,,1358,1503,1751,,,450,945,1062,954,,971,,854,840,742,,746,,1044,,1304,1257,1319,1493,1619,1875,,1219,,,1216,,966
UGIDAK,C ALEU,3,,254,,,,,,0,,,,25,110,26,48,,14,,12,,42,,6,,23,,25,,,,16,,4,,,,4,,
ULAK/HASGOX POINT,C ALEU,3,,2170,,,,,,2729,,,,1123,1324,1046,1059,,866,,844,,698,,663,,481,,531,602,,,537,514,470,,,,409,,
ULIAGA,C ALEU,6,,194,,,,,,374,,,,0,29,32,54,,26,,64,,92,,90,,121,,0,,99,,66,,216,182,,,164,,178
UMNAK/AGULIUK POINT,E ALEU,6,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,0,,0,,0,,,,0,,0
UMNAK/CAPE ASLIK,E ALEU,6,,,,,,,,248,,,,98,58,30,76,,90,,106,67,74,,74,,52,,119,,73,,63,,78,20,,,181,,138
UMNAK/CAPE CHAGAK,E ALEU,6,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,0,,0,,,,,,0,,1
UMNAK/CAPE IDAK,E ALEU,6,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,0,,,,0,0,0,,0,,,,0,,0
UMNAK/CAPE UDAK,E ALEU,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,
UMNAK/REINDEER POINT,E ALEU,6,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,0,,0,,,,,,0,,0
UNALASKA/BISHOP POINT,E ALEU,6,,,,,,,195,549,,,,0,130,116,104,,106,,57,204,204,,106,,122,,265,,285,196,204,195,240,214,,,208,,140
UNALASKA/CAPE IZIGAN,E ALEU,6,,,,,,,337,858,,,,0,278,276,0,,243,,104,342,264,,116,,211,,238,306,329,304,188,456,435,460,,,197,,292
UNALASKA/CAPE SEDANKA,E ALEU,6,,,,,,,,,,,,0,0,0,0,,3,,1,0,18,,0,,106,,0,,0,0,0,,0,,,,0,,0
UNALASKA/CAPE STARICHKOF,E ALEU,6,,,,,,,,,,,,0,0,0,,,0,,0,0,0,,0,,0,,0,,0,0,0,,0,,,,0,,0
UNALASKA/CAPE STARICHKOF,E ALEU,6,,,,,,,,,,,,60,0,0,0,,0,,0,0,0,,0,,0,,0,,0,0,0,,0,,,,0,,0
UNALASKA/KOVRIZHKA,E ALEU,6,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,0,,0,0,0,,0,,,,0,,0
UNALASKA/MAKUSHIN BAY,E ALEU,6,,,,,,,,,,,,,172,88,48,,1,,40,38,66,,79,,7,,20,,88,154,115,,56,,,,47,,142
UNALASKA/PRIEST ROCK,E ALEU,6,,,,,,,,,,,,,,,,,20,,,,,,4,,2,,0,,1,3,2,,4,,,,105,,7
UNALASKA/SPRAY CAPE,E ALEU,6,,,,,,,161,20,,,,0,0,0,18,,76,,0,0,0,,0,,67,,0,,0,0,0,,0,,,,78,,68
UNALASKA/WHALEBONE CAPE,E ALEU,6,,,,,,,,,,,,,,,,,0,,,0,0,,0,,0,,0,,0,0,0,,0,,,,6,,2
UNALGA+DINKUM ROCKS,C ALEU,3,,419,,,,,,544,,,,182,91,101,95,,142,,80,,120,,50,,46,,19,,,,0,,0,,,,0,,
UNGA/ACHEREDIN POINT,W GULF,7,,,,,,,,,,,,,36,,40,,0,,74,63,147,,108,,188,,264,,152,229,202,,,103,,78,107,,126
UNGA/CAPE UNGA,W GULF,7,,,,,,,,,,,,,,0,0,,0,,,0,0,,0,,0,,0,,0,0,0,,,,,,0,,0
UNIMAK/CAPE LAZAREF,E ALEU,7,,,,,,,,,,,,,,,0,,,,0,0,0,,0,,0,,0,,,0,0,,,,,,0,,201
UNIMAK/CAPE LUTKE,E ALEU,7,,,,,,,,0,,,,0,0,0,0,,0,,0,0,0,,0,,0,,0,,0,0,0,,,,,,0,,0
UNIMAK/CAPE SARICHEF,E ALEU,6,,,,,,,,128,,,,50,15,13,69,,176,,227,221,366,,216,,321,,250,,25,6,167,1,,0,,,2,,26
UNIMAK/CAVE POINT,E ALEU,6,,,,,,,,,,,,,,,1,,,,0,0,0,,0,,0,,,,,,0,,,,,,0,,0
UNIMAK/OKSENOF POINT,E ALEU,6,,,,,,,,0,,,,0,36,,0,,176,,0,0,0,,0,,0,,,,,269,762,332,,188,,,594,,358
UNIMAK/SCOTCH CAP,E ALEU,6,,,,,,,,,,,,,,,0,,0,,,0,0,,0,,0,,0,,0,0,0,,,,,,0,,0
UNIMAK/SENNETT POINT,E ALEU,6,,,,,,,,,,,,,,,,,,,0,0,0,,1,,0,,0,,1,0,0,,,,,,0,,0
USHAGAT,C GULF,9,,,,,,,,1529,,,,217.6666667,359,233,241,,201,,110,96,95,,99,,117,,104,124,141,74,96,88,86,166,,296,,222,
USHAGAT/ROCKS SOUTH,C GULF,9,,,,,,,,284,,,,54.75,55,51,38,,27,,27,21,3,,37,,5,,8,,9,0,45,28,28,,,38,,62,
VSEVIDOF,E ALEU,6,,,,,,,134,0,,,,23,26,54,94,,43,,62,25,48,,46,,34,,48,,41,35,50,,75,82,,72,113,,118
WALRUS,E ALEU,6,,,,,599,525,,,,,,,,192,,,130,,,,,,,,,,,111,,,,,,,,,,260,
WEST AMATULI,C GULF,9,,,,,,,,0,,,,0,0,,0,,10,,0,0,0,,0,,,,0,,0,0,0,,0,,,0,,0,
WOODED (FISH),E GULF,10,,,,,,,,,,,,1333,1232,1350,1005,,648,,502,,330,,396,,396,,523,436,619,282,603,662,634,564,,863,,830,
WOSNESENSKI,W GULF,7,,,,,,,,,,,,,,0,0,,0,,0,1,0,,0,,2,,166,,113,110,98,,,32,,16,102,,124
YUNASKA,C ALEU,5,,2249,,,,,,1071,,,,466,391,398,394,,461,,340,,210,,241,,276,,260,,255,279,282,298,403,526,,,,348,358
