Site,Region,RCA,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ATKINS,W GULF,7,3943,5000,,,,,,1562,1129,84,,755,728,616,793,,571,,624,544,602,,537,,560,,651,682,663,585,558,630,,892,,724,671,,851
ATKULIK,W GULF,8,,,,,,,,,,,,,,0,0,,0,,0,0,0,,0,,0,,0,,0,,0,,0,,,0,,0,
ATTU,W ALEU,1,,5400,,,,,,,,,1306,,,1384,1414,,1226,,894,,794,,522,,348,,386,,303,,314,,,282,255,236,207,,200
AVATANAK,E ALEU,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,69
AYUGADAK,C ALEU,2,,1463,,,,,,702,,,,389,,324,313,,285,,281,,179,,146,,182,,152,171,,,152,112,,,122,112,102,,103
BABY,E ALEU,6,,,,,,,,,,,,,,1,,,,,,,0,,0,,,,0,,4,0,0,,0,,,,0,,0
BASALT ROCK,E ALEU,6,,,,,,,,,,,,,,,3,,0,,0,0,0,,0,,0,,1,,4,0,0,,,,,,0,,0
BIG KONIUJI,W GULF,7,,,,,,,,,,6,,,,,,,,,,,,,0,,0,,0,,0,0,0,,,,,0,0,,0
BIRD,W GULF,7,,,,,,,,170,,668,,34,134,216,160,,347,,190,146,54,,88,,95,,57,,62,97,155,,,234,,444,214,,153
BIRD (SHUMAGINS),W GULF,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,110
BOBROF,C ALEU,4,,,,,,,,,,,,,,,150,,,,,,13,,0,,28,,49,,21,,,,19,20,,,0,,0
BOGOSLOF/FIRE ISLAND,E ALEU,6,,1468,,,,,1379,1287,,,,682,713,558,540,,413,,382,,274,,347,,357,,380,320,358,405,390,398,434,314,,,347,,308
BULDIR,W ALEU,1,,5024,,,,,,,,,1396,1058,,587,454,,345,,312,,336,,129,,94,,108,82,,,43,,25,,1,11,4,26,28
CAPE DOUGLAS,C GULF,9,,,,,,,,,,,,,,0,0,,0,,0,0,,,0,,0,,0,,0,0,0,,0,,,0,,0,
CAPE FAIRFIELD,E GULF,10,,,,,,,,,,,,,51,52,104,,72,,70,,0,,21,,2,,0,,0,10,47,32,27,,,50,,0,
CAPE GULL,C GULF,8,,,,,,,,285,,,,0,0,0,0,,0,,0,0,0,,0,,0,,0,,0,0,0,,0,,,49,,87,
CAPE HINCHINBROOK,E GULF,10,,,,,,,,,,,,,76,163,129,,110,,245,,15,,106,,107,,496,,237,95,229,102,161,76,,270,,17,
CAPE JUNKEN,E GULF,10,,,,,,,,,,,,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,0,0,1,0,,,0,,0,
CAPE KULIAK,C GULF,8,,,,,,,,327,,,,,,0,0,,94,,2,0,0,,0,,0,,,,0,4,0,,0,,,0,,0,
CAPE NEWENHAM,E ALEU,6,,,,,,,,,,,,,489,649,575,404,,,,,,,,,,,288,111,,,,,,,,,,194,
CAPE NUKSHAK,C GULF,9,,,,,,,,,,,,,,0,0,,0,,0,0,0,,0,,0,,0,,0,0,0,,0,,,0,,0,
CAPE PUGET,E GULF,10,,,,,,,,,,,,65,37,1,8,,38,,0,,7,,0,,0,,0,,0,0,0,10,1,,,0,,47,
