region,year,count
BC,1971,941
BC,1973,1015
BC,1977,963
BC,1982,1245
BC,1987,1084
BC,1992,1468
BC,1994,1186
BC,1998,2073
BC,2002,3281
BC,2006,4118
BC,2010,5485
SEAK,1979,2219
SEAK,1990,3600
SEAK,1991,4164
SEAK,1994,3770
SEAK,1996,3714
SEAK,1997,4160
SEAK,1998,4235
SEAK,2001,4741
SEAK,2002,4866
SEAK,2005,5510
SEAK,2009,7443
OR,1990,790
OR,1996,1020
OR,2002,1128
OR,2009,1418
CA,1996,546
CA,1999,432
CA,2000,619
CA,2001,722
CA,2002,713
CA,2003,855
CA,2004,818
CA,2009,891
